event_id,event_time,department,channel,formal_system,action,state_before,state_after,feedback_due_by,receipt_required,escalation_owner,decision_effect
20260617-SKU-A17-QA,2026-06-17 14:12,Production,MES alert + enterprise IM,MES,open unified event package,normal_running,production_quality_hold,2026-06-17 14:20,MES downtime record,production supervisor,starts unified event and stops unsafe shipment assumptions
20260617-SKU-A17-QA,2026-06-17 14:18,Quality,QMS notice,QMS,create containment and sampling record,production_quality_hold,qms_containment_open,2026-06-17 15:20,QMS isolation record,quality manager,blocks affected batch from shipment
20260617-SKU-A17-QA,2026-06-17 14:28,Quality,QMS update,QMS,report first sample failure,qms_containment_open,qms_disposition_pending,2026-06-17 15:20,QMS retest and disposition,quality manager,keeps release blocked and triggers rework evaluation
20260617-SKU-A17-QA,2026-06-17 14:35,Warehouse,SAP/ERP query,SAP_ERP,confirm released inventory,qms_disposition_pending,released_stock_available,2026-06-17 15:20,SAP/ERP stock snapshot,warehouse supervisor,allows partial shipment option only from released batch
20260617-SKU-A17-QA,2026-06-17 14:38,Warehouse,WMS hold request,SAP_ERP_WMS,hold affected batch,released_stock_available,warehouse_hold_pending,2026-06-17 15:20,WMS hold receipt,warehouse supervisor,prevents B20260617-A17-03 from entering picking wave
20260617-SKU-A17-QA,2026-06-17 14:42,PMC,PMC planning group,PMC_APS,calculate delivery gap and options,warehouse_hold_pending,pmc_delivery_gap_open,2026-06-17 15:40,PMC/APS schedule version,PMC manager,creates partial shipment/rework/overtime decision options
20260617-SKU-A17-QA,2026-06-17 14:48,Engineering,engineering IM + OA,PLM_ENGINEERING,confirm onsite ETA and validation scope,pmc_delivery_gap_open,engineering_eta_confirmed,2026-06-17 15:20,engineering ETA acknowledgement,engineering manager,keeps root cause candidate open until onsite validation
20260617-SKU-A17-QA,2026-06-17 15:05,Engineering,onsite support,PLM_ENGINEERING,start fixture and barcode parameter validation,engineering_eta_confirmed,engineering_validation_in_progress,2026-06-17 15:35,trial validation record,engineering manager,feeds QMS rework and PMC recovery decision
20260617-SKU-A17-QA,2026-06-17 15:20,Production,cross-department sync,OA + enterprise IM,review first feedback and unresolved blockers,engineering_validation_in_progress,first_sync_blockers_confirmed,2026-06-17 15:40,OA sync minutes,production manager,prepares management decision packet
20260617-SKU-A17-QA,2026-06-17 15:40,Management,OA escalation,OA,choose delivery and recovery plan,first_sync_blockers_confirmed,management_decision_required,2026-06-17 15:40,OA decision record,plant manager,select hold/partial shipment/rework/overtime path
